"Page","Id"
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-13",325aa710e1d9
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-14",2b1c5a0d211a
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-15",572b54ad1e7e
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-16",5f6494f54b92
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-17",3d5ae8ba0c14
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-18",4e196dfa5ed4
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-19",ec6b7980e964
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-20",658d42fa4cdf
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-21",556496198ded
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-22",f1db69662c66
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-23",382334b8a7b1
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-24",eab84a02eabe
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-25",5241384dbd08
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-26",dae825a0177e
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-27",7fa8bc1712ad
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-28",43b70180ac24
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-29",927fc1d20b6d
"AKB48_zh.wikipedia.org_all-access_spider_2017-09-30",0d0859af6105
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-01",d328fc4e55e9
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-02",6caca886d353
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-03",3163b7987494
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-04",ed8eeb069321
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-05",c12d81879cac
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-06",cc08a3ce47ef
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-07",ec4d00eb01a2
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-08",39efc9f482d4
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-09",e67455fad34d
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-10",c308379486c3
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-11",ae24503604a3
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-12",7f51cc6d9991
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-13",9753f84d64d2
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-14",7927ecc8bad9
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-15",280f1062645e
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-16",ec58b17aaf2e
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-17",28030c296be6
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-18",3f35297b53f0
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-19",c381c1909fea
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-20",7c47bb2e11fc
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-21",fdefe7608ebd
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-22",2a525bee8369
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-23",417456c8628e
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-24",7d89f62505f6
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-25",912195956107
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-26",0f16f4070e4b
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-27",99d65a73a6c8
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-28",edd79476a0cc
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-29",209f1a7e8a94
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-30",68a3208a2236
"AKB48_zh.wikipedia.org_all-access_spider_2017-10-31",b583ecc68354
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-01",670cff8e2a53
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-02",b67703f281e9
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-03",675d06d52204
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-04",04a063e27f0a
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-05",9a3a6e3ca1f6
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-06",a1da366bb8e1
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-07",ea361bdc43aa
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-08",4a81fbfef6d1
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-09",a4a856673122
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-10",5d7e39a25f28
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-11",d276c07e4a37
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-12",cc0a3ebe7f5e
"AKB48_zh.wikipedia.org_all-access_spider_2017-11-13",a1fb00fe3b57
